Type,Text,URL
Link,2025-26 Housing Application,https://www.southflorida.edu/future-students/student-housing/current-housing/2025-26-housing-application
Link,2025-26 Student Housing Agreement,https://www.southflorida.edu/future-students/student-housing/current-housing/2025-26-student-housing-agreement
Link,2025-26 Student Housing Rates,https://www.southflorida.edu/future-students/student-housing/current-housing/2025-26-student-housing-rates
Link,2025-26 Student Resident Handbook,https://www.southflorida.edu/future-students/student-housing/current-housing/2025-26-student-resident-handbook
Link,2025-26 Student Housing Calendar,https://www.southflorida.edu/future-students/student-housing/current-housing/2025-26-student-housing-calendar
Link,Housing Credit/Debit Form,https://www.southflorida.edu/future-students/student-housing/current-housing/housing-credit-debit-form
Link,Current Students,https://www.southflorida.edu/current-students
Link,Student Hub,https://www.southflorida.edu/current-students/student-hub
Link,Panther Central,https://www.southflorida.edu/current-students/panther-central
Link,Degrees & Programs,https://www.southflorida.edu/current-students/degrees-programs
Link,Academics,https://www.southflorida.edu/current-students/degrees-programs/academics
Link,Associate in Arts – AA,https://www.southflorida.edu/current-students/degrees-programs/academics/associate-arts-aa
Link,Associate in Arts Degree,https://www.southflorida.edu/current-students/degrees-programs/academics/associate-arts-aa/education-aa
Link,Arts and Sciences Departments,https://www.southflorida.edu/current-students/degrees-programs/academics/associate-arts-aa/arts-and-sciences-departments
Link,Degree Maps by Major,https://www.southflorida.edu/current-students/degrees-programs/academics/associate-arts-aa/degree-maps-major
Link,Biology,https://www.southflorida.edu/current-students/degrees-programs/academics/associate-arts-aa/degree-maps-major/biology
Link,Computer Science,https://www.southflorida.edu/current-students/degrees-programs/academics/associate-arts-aa/degree-maps-major/computer-science
Link,USF FUSE Transfer Program,https://www.southflorida.edu/current-students/degrees-programs/academics/associate-arts-aa/usf-fuse
Link,Accounting,https://www.southflorida.edu/current-students/degrees-programs/academics/accounting
Link,Accounting Technology – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/accounting/accounting-technology-1580
Link,Accounting Applications – CCC,https://www.southflorida.edu/current-students/degrees-programs/academics/accounting/accounting-applications-3010
Link,Automotive,https://www.southflorida.edu/current-students/degrees-programs/academics/automotive-programs
Link,Auto Service Technology – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/automotive-programs/service-technology-3220
Link,Auto Collision Technology Technician – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/automotive-programs/collision-technology-technician-3210
Link,Business,https://www.southflorida.edu/current-students/degrees-programs/academics/business
Link,Bachelor of Applied Science in Supervision and Management (BAS-SM),https://www.southflorida.edu/current-students/degrees-programs/academics/business/supervision-management-bas
Link,Degree Plan,https://www.southflorida.edu/current-students/degrees-programs/academics/business/supervision-management-bas/degree-plan
Link,Business Administration – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/business/business-administration-as
Link,Business Management – CCC,https://www.southflorida.edu/current-students/degrees-programs/academics/business/business-management-ccc
Link,Cosmetology,https://www.southflorida.edu/current-students/degrees-programs/academics/cosmetology-programs
Link,Cosmetology – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/cosmetology-programs/cosmetology-3280
Link,Criminal Justice Academy,https://www.southflorida.edu/current-students/degrees-programs/academics/public-safety
Link,Criminal Justice Technology – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/public-safety/criminal-justice-technology
Link,Criminal Justice Training Calendar,https://www.southflorida.edu/current-students/degrees-programs/academics/public-safety/training-calendar-corrections-law-enforcement
Link,Concealed Weapons Permit,https://www.southflorida.edu/current-students/degrees-programs/academics/public-safety/training-calendar-corrections-law-enforcement/concealed-weapons-permit
Link,Law Enforcement Auxiliary Officer – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/public-safety/law-enforcement-auxiliary-officer-cc
Link,Law Enforcement to Correctional – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/public-safety/law-enforcement-correctional-crossover-cc
Link,Florida Law Enforcement Academy- CC,https://www.southflorida.edu/current-students/degrees-programs/academics/public-safety/fl-law-enforcement-academy
Link,Correctional Officer – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/public-safety/correctional-officer-cc
Link,Correctional to Law Enforcement,https://www.southflorida.edu/current-students/degrees-programs/academics/public-safety/correctional-officer-cc/correctional-law-enforcement-crossover-oc
Link,Electricity,https://www.southflorida.edu/current-students/degrees-programs/academics/electrical-programs
Link,Electrical Apprenticeship Program,https://www.southflorida.edu/current-students/degrees-programs/academics/electrical-programs/electrical-app
Link,Electrical Lineworker – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/electrical-programs/electrical-lineworker-cc
Link,Electronics,https://www.southflorida.edu/current-students/degrees-programs/academics/electronics
Link,Biomedical Equipment Technician – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/electronics/biomedical-equipment-tech
Link,Computer Engineering Technology – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/electronics/computer-engineering-technology-1680
Link,Emergency Medical Services,https://www.southflorida.edu/current-students/degrees-programs/academics/emergency-medical-services
Link,Emergency Medical Services – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/emergency-medical-services/emergency-medical-services-1660
Link,Emergency Medical Technician (Basic),https://www.southflorida.edu/current-students/degrees-programs/academics/emergency-medical-services/emergency-medical-technician-basic-2810
Link,Admission Process (EMT),https://www.southflorida.edu/current-students/degrees-programs/academics/emergency-medical-services/emergency-medical-technician-basic-2810/admissions-process-emt-basic
Link,EMT FAQs,https://www.southflorida.edu/current-students/degrees-programs/academics/emergency-medical-services/emergency-medical-technician-basic-2810/emt-faqs
Link,Paramedic – CCC,https://www.southflorida.edu/current-students/degrees-programs/academics/emergency-medical-services/paramedic-3042
Link,Admission Process (Paramedic),https://www.southflorida.edu/current-students/degrees-programs/academics/emergency-medical-services/paramedic-3042/admission-process-paramedic
Link,Paramedic FAQs,https://www.southflorida.edu/current-students/degrees-programs/academics/emergency-medical-services/paramedic-3042/frequently-asked-questions
Link,EMS Contacts,https://www.southflorida.edu/current-students/degrees-programs/academics/emergency-medical-services/ems-contacts
Link,Fire Science,https://www.southflorida.edu/current-students/degrees-programs/academics/fire-science
Link,Fire Science Technology – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/fire-science/fire-science-technology-1670
Link,Minimum Standards Application Process,https://www.southflorida.edu/current-students/degrees-programs/academics/fire-science/firefighter-minimum-standards
Link,Fire Science FAQs,https://www.southflorida.edu/current-students/degrees-programs/academics/fire-science/faqs
Link,Fire Science Contacts,https://www.southflorida.edu/current-students/degrees-programs/academics/fire-science/fire-science-contacts
Link,"Heating, Ventilation, Air-Conditioning/Refrigeration (HVAC/R)",https://www.southflorida.edu/current-students/degrees-programs/academics/hvacr
Link,"Heating, Ventilation, Air Conditioning/Refrigeration (HVAC/R) – CC",https://www.southflorida.edu/current-students/degrees-programs/academics/hvacr/hvacr-cc
Link,Commercial Air Conditioning – APP,https://www.southflorida.edu/current-students/degrees-programs/academics/hvacr/commercial-air-conditioning-app
Link,Honors Program,https://www.southflorida.edu/current-students/degrees-programs/academics/honors-program
Link,Application,https://www.southflorida.edu/current-students/degrees-programs/academics/honors-program/application
Link,Admission/Graduation Requirements,https://www.southflorida.edu/current-students/degrees-programs/academics/honors-program/admission-requirements
Link,Courses,https://www.southflorida.edu/current-students/degrees-programs/academics/honors-program/courses
Link,Honors Scholarships,https://www.southflorida.edu/current-students/degrees-programs/academics/honors-program/scholarships
Link,Service Learning,https://www.southflorida.edu/current-students/degrees-programs/academics/honors-program/service-learning
Link,Faculty,https://www.southflorida.edu/current-students/degrees-programs/academics/honors-program/faculty
Link,Hospitality,https://www.southflorida.edu/current-students/degrees-programs/academics/hospitality
Link,Professional Culinary Arts and Hospitality – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/hospitality/professional-culinary-arts-and-hospitality
Link,Industrial Management Technology – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/industrial-management-technology
Link,Information Technology,https://www.southflorida.edu/current-students/degrees-programs/academics/information-technology
Link,Computer Programming and Analysis – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/information-technology/computer-programming-analysis-1610
Link,Network Systems Technology – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/information-technology/network-systems-technology-2
Link,Computer Programming – CCC,https://www.southflorida.edu/current-students/degrees-programs/academics/information-technology/computer-programming-3020
Link,Network Security – CCC,https://www.southflorida.edu/current-students/degrees-programs/academics/information-technology/network-security-ccc
Link,Mechatronics,https://www.southflorida.edu/current-students/degrees-programs/academics/mechatronics
Link,Advanced Manufacturing and Production Technology – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/mechatronics/advanced-manufacturing-and-production-technology-cc
Link,Engineering Technology – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/mechatronics/engineering-technology-as
Link,"Pneumatics, Hydraulics, and Motors for Manufacturing – CCC",https://www.southflorida.edu/current-students/degrees-programs/academics/mechatronics/pneumatics-hydraulics-and-motors-for-manufacturing-ccc
Link,Mechatronics College Credit Certificates,https://www.southflorida.edu/current-students/degrees-programs/academics/mechatronics/mechatronics-college-credit-certiticates
Link,Mechatronics Contacts,https://www.southflorida.edu/current-students/degrees-programs/academics/mechatronics/mechatronics-contacts
Link,Office Administration and Management,https://www.southflorida.edu/current-students/degrees-programs/academics/office-administration-management
Link,Office Management – CCC,https://www.southflorida.edu/current-students/degrees-programs/academics/office-administration-management/office-management-ccc
Link,Administrative Office Specialist – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/office-administration-management/administrative-office-specialist-cc
Link,Office Administration – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/office-administration-management/office-administration-as
Link,Special Programs,https://www.southflorida.edu/current-students/degrees-programs/special-programs
Link,Adult Education,https://www.southflorida.edu/current-students/degrees-programs/special-programs/adult-education
Link,Corporate Education,https://www.southflorida.edu/current-students/degrees-programs/special-programs/corporate-education-training
Link,Allied Health,https://www.southflorida.edu/current-students/degrees-programs/special-programs/corporate-education-training/allied-health
Link,Business and Professional Development,https://www.southflorida.edu/current-students/degrees-programs/special-programs/corporate-education-training/business
Link,Computer Workshops,https://www.southflorida.edu/current-students/degrees-programs/special-programs/corporate-education-training/computer-workshops
Link,Commercial Vehicle Driving,https://www.southflorida.edu/current-students/degrees-programs/special-programs/corporate-education-training/commercial-vehicle-driving
Link,Public Services Workshops,https://www.southflorida.edu/current-students/degrees-programs/special-programs/corporate-education-training/public-services-workshop
Link,Technical and Industrial Education,https://www.southflorida.edu/current-students/degrees-programs/special-programs/corporate-education-training/technical-industrial-education
Link,Online Classes,https://www.southflorida.edu/current-students/degrees-programs/special-programs/corporate-education-training/online-classes
Link,Real Estate Online Courses,https://www.southflorida.edu/current-students/degrees-programs/special-programs/corporate-education-training/real-estate
Link,Insurance Agent Online Courses,https://www.southflorida.edu/current-students/degrees-programs/special-programs/corporate-education-training/insurance-agent
Link,Register,https://www.southflorida.edu/current-students/degrees-programs/special-programs/corporate-education-training/register
Link,Accelerated Career Training Online,https://www.southflorida.edu/current-students/degrees-programs/special-programs/corporate-education-training/accelerated-career-training-online
Link,Leadership Highlands,https://www.southflorida.edu/current-students/degrees-programs/special-programs/leadership-highlands
Link,STEM Programs,https://www.southflorida.edu/current-students/degrees-programs/special-programs/stem-programs
Link,What is STEM?,https://www.southflorida.edu/current-students/degrees-programs/special-programs/stem-programs/what-is-stem
Link,How to Enroll,https://www.southflorida.edu/current-students/degrees-programs/special-programs/stem-programs/how-to-enroll
Link,STEMQuest,https://www.southflorida.edu/current-students/degrees-programs/special-programs/stemquest
Link,Programs of Study (PDF),https://www.southflorida.edu/current-students/degrees-programs/programs-study-pdf
Link,Student Support Resources,https://www.southflorida.edu/current-students/student-support-resources
Link,CareerSource Heartland,https://www.southflorida.edu/current-students/student-support-resources/careersource-heartland
Link,Fitness Center,https://www.southflorida.edu/current-students/student-support-resources/fitness-center
Link,Syllabi for General Education Courses,https://www.southflorida.edu/current-students/general-education-courses
Link,College Catalog,https://www.southflorida.edu/current-students/college-catalog
Link,Student Handbook,https://www.southflorida.edu/current-students/student-handbook
Link,Class Schedules,https://www.southflorida.edu/current-students/class-schedules
Link,Advising & Counseling,https://www.southflorida.edu/current-students/advising-counseling-center
Link,Transfer Student,https://www.southflorida.edu/current-students/advising-counseling-center/transfer-student
Link,Survival Skills 101,https://www.southflorida.edu/current-students/advising-counseling-center/survival-skills-101
Link,Services for Students With Disabilities,https://www.southflorida.edu/current-students/advising-counseling-center/services-students-with-disabilities
Link,Admissions FAQs,https://www.southflorida.edu/current-students/advising-counseling-center/faq
Link,Contact Advising & Counseling,https://www.southflorida.edu/current-students/advising-counseling-center/contact-us
Link,Links to Other Universities,https://www.southflorida.edu/current-students/advising-counseling-center/links
Link,Distance Learning,https://www.southflorida.edu/current-students/distance-learning
Link,Distance Learning Options,https://www.southflorida.edu/current-students/distance-learning/online-options
Link,Educational Technology Services,https://www.southflorida.edu/current-students/distance-learning/services-information
Link,Brightspace,https://www.southflorida.edu/current-students/distance-learning/d2l-brightspace
Link,Brightspace Tutorials,https://www.southflorida.edu/current-students/distance-learning/brightspace-tutorials
Link,Mobile App,https://www.southflorida.edu/current-students/distance-learning/sfsc-mobile-app
Link,Online Student Complaint Process,https://www.southflorida.edu/current-students/distance-learning/online-student-complaint-process
Link,Copyright Information,https://www.southflorida.edu/current-students/distance-learning/copyright-information
Link,Transfer Opportunities,https://www.southflorida.edu/current-students/transfer-opportunities
Link,Financial Aid and Scholarships,https://www.southflorida.edu/current-students/financial-aid-scholarships
Link,Contact Financial Aid,https://www.southflorida.edu/current-students/financial-aid-scholarships/contact-us
Link,Eligibility,https://www.southflorida.edu/current-students/financial-aid-scholarships/eligibility
Link,Financial Aid FAQs,https://www.southflorida.edu/current-students/financial-aid-scholarships/faq
Link,Financial Aid Forms,https://www.southflorida.edu/current-students/financial-aid-scholarships/forms
Link,Financial Need Calculation,https://www.southflorida.edu/current-students/financial-aid-scholarships/financial-need-calculation
Link,Grants,https://www.southflorida.edu/current-students/financial-aid-scholarships/grants
Link,Loans,https://www.southflorida.edu/current-students/financial-aid-scholarships/loans
Link,Federal Direct PLUS Loans,https://www.southflorida.edu/current-students/financial-aid-scholarships/loans/federal-direct-plus-loans
Link,Federal Direct Subsidized/Unsubsidized Loans,https://www.southflorida.edu/current-students/financial-aid-scholarships/loans/federal-direct-subsidized-unsubsidized-loans
Link,Private Education Student Loans,https://www.southflorida.edu/current-students/financial-aid-scholarships/loans/private-education-student-loans
Link,Scholarship Sources,https://www.southflorida.edu/current-students/financial-aid-scholarships/scholarships
Link,Work-Study,https://www.southflorida.edu/current-students/financial-aid-scholarships/work-study
Link,Cashier,https://www.southflorida.edu/current-students/cashier
Link,Tuition and Fees,https://www.southflorida.edu/current-students/cashier/tuition-fees
Link,Tuition Installment Plan,https://www.southflorida.edu/current-students/cashier/cashier-tuition-install-plan
Link,Graduation,https://www.southflorida.edu/current-students/graduation
Link,GED Graduation,https://www.southflorida.edu/current-students/graduation/ged-graduation
Link,Florida Civic Literacy Exam (FCLE),https://www.southflorida.edu/current-students/graduation/florida-civic-literacy-exam-fcle
Link,Student Speaker for Commencement,https://www.southflorida.edu/current-students/graduation/student-speaker-commencement
Link,SFSC Bookstore,https://www.southflorida.edu/current-students/sfsc-bookstore
Link,Request a Transcript,https://www.southflorida.edu/current-students/request-a-transcript
Link,Library,https://www.southflorida.edu/current-students/library
Link,Library: Highlands Campus,https://www.southflorida.edu/current-students/library/highlands-campus-library
Link,User Name and Password,https://www.southflorida.edu/current-students/library/user-name-and-password
Link,Library: DeSoto Campus,https://www.southflorida.edu/current-students/library/desoto-campus-library
Link,Library: Hardee Campus,https://www.southflorida.edu/current-students/library/hardee-campus-library
Link,Library: Lake Placid Center,https://www.southflorida.edu/current-students/library/lake-placid-center-library
Link,Library Services,https://www.southflorida.edu/current-students/library/library-services
Link,Library Staff,https://www.southflorida.edu/current-students/library/library-staff
Link,Library Workshops and Events,https://www.southflorida.edu/current-students/library/library-workshops-events
Link,Research Guides,https://www.southflorida.edu/current-students/library/guides-handouts
Link,Book Study Rooms,https://www.southflorida.edu/current-students/library/book-study-rooms
Link,Schedule Appointment w/ Librarian,https://www.southflorida.edu/current-students/library/schedule-appointment-w-librarian
Link,Get Help: Ask-A-Librarian,https://www.southflorida.edu/current-students/library/get-help-ask-librarian
Link,Testing and Assessment Center,https://www.southflorida.edu/current-students/testing-center
Link,Florida Civic Literacy Exam (FCLE),https://www.southflorida.edu/current-students/testing-center/florida-civic-literacy-exam-fcle
Link,Exam Fees,https://www.southflorida.edu/current-students/testing-center/exam-fees
Link,Policies & Procedures,https://www.southflorida.edu/current-students/testing-center/policies-procedures
Link,Accuplacer,https://www.southflorida.edu/current-students/testing-center/accuplacer
Link,ATI TEAS Nursing Admission Exam,https://www.southflorida.edu/current-students/testing-center/nursing-entrance-exam
Link,Scantron,https://www.southflorida.edu/current-students/testing-center/scantron
Link,College Level Examination Program (CLEP),https://www.southflorida.edu/current-students/testing-center/college-level-examination-program
Link,Distance Learning,https://www.southflorida.edu/current-students/testing-center/distance-education
Link,Instructor Authorized Exams,https://www.southflorida.edu/current-students/testing-center/instructor-authorized-testing-makeup-tests
Link,Pearson Vue,https://www.southflorida.edu/current-students/testing-center/pearson-vue
Link,Postsecondary Education Readiness Test (PERT),https://www.southflorida.edu/current-students/testing-center/postsecondary-education-readiness-test
Link,Test of Adult Basic Education (TABE),https://www.southflorida.edu/current-students/testing-center/tests-adult-basic-education
Link,Highlands Campus (Avon Park) Information,https://www.southflorida.edu/current-students/testing-center/testing-center-contacts
Link,Clubs & Activities,https://www.southflorida.edu/current-students/student-activities-clubs
Link,Student Government Association,https://www.southflorida.edu/current-students/student-activities-clubs/student-government-association
Link,Constitution,https://www.southflorida.edu/current-students/student-activities-clubs/student-government-association/constitution
Link,SGA Forms,https://www.southflorida.edu/current-students/student-activities-clubs/student-government-association/forms
Link,Your SGA Officers,https://www.southflorida.edu/current-students/student-activities-clubs/student-government-association/officers
Link,African American Association,https://www.southflorida.edu/current-students/student-activities-clubs/african-american-association
Link,American Dental Hygienists,https://www.southflorida.edu/current-students/student-activities-clubs/american-dental-hygienists
Link,Art Club,https://www.southflorida.edu/current-students/student-activities-clubs/art-club
Link,Basketball Club,https://www.southflorida.edu/current-students/student-activities-clubs/basketball-club
Link,College Democrats,https://www.southflorida.edu/current-students/student-activities-clubs/college-democrats
Link,College Republicans,https://www.southflorida.edu/current-students/student-activities-clubs/college-republicans
Link,Communications Club,https://www.southflorida.edu/current-students/student-activities-clubs/communications-club
Link,Dental Students Association,https://www.southflorida.edu/current-students/student-activities-clubs/dental-students-association
Link,DeSoto Campus Ambassadors,https://www.southflorida.edu/current-students/student-activities-clubs/haitian-student-association
