Name,File
Employment Application - Instructional,https://sfsc.sharepoint.com/sites/pod/Forms/Employment%20Application%20-%20Instructional.docx?d=wee0694c7e4a44a38a6e03cbb73de5166
Faculty Chair and Program Manager Annual Evaluation,https://sfsc.sharepoint.com/sites/pod/Forms/Faculty%20Chair%20and%20Program%20Manager%20Annual%20Evaluation.pdf
Grant Closeout Notice,https://sfsc.sharepoint.com/sites/pod/Forms/Grant%20Closeout%20Notice.pdf
Home School Affidavit,https://sfsc.sharepoint.com/sites/pod/Forms/Home%20School%20Affidavit.pdf
Incomplete Grade Report,https://sfsc.sharepoint.com/sites/pod/Forms/Incomplete%20Grade%20Report.pdf
Instructional Aid - Learning Lab Specialist Form,https://sfsc.sharepoint.com/sites/pod/Forms/Instructional%20Aid%20-%20Learning%20Lab%20Specialist%20Form.docx?d=wcf52917add834f3295317b5a8113194f
Instructional Faculty Annual Evaluation,https://sfsc.sharepoint.com/sites/pod/Forms/Instructional%20Faculty%20Annual%20Evaluation.pdf
Key Authorization Form,https://sfsc.sharepoint.com/sites/pod/Forms/Key%20Authorization%20Form.docx?d=wc539411737a445168cd3a10a21278e23
Leave Request,https://sfsc.sharepoint.com/sites/pod/Forms/Leave%20Request.pdf
Library Instruction Request,https://sfsc.sharepoint.com/:u:/s/pod/ESBW1vfdVCtErmKD6QMmqPsB3WZyMTMHbMrftSGrhUwSuQ
Library Reserve Request,https://sfsc.sharepoint.com/sites/pod/Forms/Library%20Reserve%20Request.aspx
Load Sheet Adjustment,https://sfsc.sharepoint.com/sites/pod/Forms/Load%20Sheet%20Adjustment.docx?d=w0eb11354a91345e29429de1f4670903a
Master Schedule Change Request,https://sfsc.sharepoint.com/sites/pod/Forms/Load%20Sheet%20Adjustment.docx?d=w0eb11354a91345e29429de1f4670903a
Master Schedule Request,https://sfsc.sharepoint.com/sites/pod/Forms/Master%20Schedule%20Request.pdf
Network Access - User Profile,https://sfsc.sharepoint.com/sites/pod/Forms/Network%20Access%20-%20User%20Profile.pdf
Overload LOI,https://sfsc.sharepoint.com/sites/pod/Forms/Overload%20LOI.doc?d=w54d63780de7142028fc6a5c1ba278a10
Overtime Request,https://sfsc.sharepoint.com/sites/pod/Forms/Overtime%20Request.pdf
Payroll Deduction Authorization Foundation,https://sfsc.sharepoint.com/sites/pod/Forms/Payroll%20Deduction%20Authorization%20Foundation.pdf
Payroll Deduction Authorization,https://sfsc.sharepoint.com/sites/pod/Forms/Payroll%20Deduction%20Authorization.pdf
P-Card Agreement,https://sfsc.sharepoint.com/sites/pod/Forms/P-Card%20Agreement.docx?d=wcecb8a68a9644ac0aeb12f9bcf08fe59
P-Card CREDIT Authorization,https://sfsc.sharepoint.com/sites/pod/Forms/P-Card%20CREDIT%20Authorization.pdf
P-Card EXPENSE Authorization,https://sfsc.sharepoint.com/sites/pod/Forms/P-Card%20EXPENSE%20Authorization%20.pdf
P-Card Increase,https://sfsc.sharepoint.com/sites/pod/Forms/P-Card%20Increase.pdf
P-Card Lost Receipt,https://sfsc.sharepoint.com/sites/pod/Forms/P-Card%20Lost%20Receipt.docx?d=w40f462328b624d88824296e233db979f
P-Card Recurring Charge,https://sfsc.sharepoint.com/sites/pod/Forms/P-Card%20Recurring%20Charge.docx?d=w7fcfae79466e42a2b6ddad4b90d2e964
P-Card Request,https://sfsc.sharepoint.com/sites/pod/Forms/P-Card%20Request.pdf
Position Request  Federal WS,https://sfsc.sharepoint.com/sites/pod/Forms/Position%20Request%20%20Federal%20WS.docx?d=wd4243a3e84e04879aa6f2c5db669efa6
Position Request  Internal WS,https://sfsc.sharepoint.com/sites/pod/Forms/Position%20Request%20%20Internal%20WS.docx?d=w34fc1487a9c04725a0c2e04c2308864b
Position Request Form,https://sfsc.sharepoint.com/sites/pod/Forms/Position%20Request%20Form.pdf
Position Request FWEP WS,https://sfsc.sharepoint.com/sites/pod/Forms/Position%20Request%20FWEP%20WS.docx?d=wa1d0254fd3b84741ba9765913c26eef0
President's Professional Staff Annual Evaluation,https://sfsc.sharepoint.com/sites/pod/Forms/President's%20Professional%20Staff%20Annual%20Evaluation.pdf
Printer Request Form,https://sfsc.sharepoint.com/sites/pod/Forms/Printer%20Request%20Form.pdf
Proctor Request,https://sfsc.sharepoint.com/sites/pod/Forms/Proctor%20Request.pdf
Professional Consulting Services Agreement,https://sfsc.sharepoint.com/sites/pod/Forms/Professional%20Consulting%20Services%20Agreement.pdf
Professional Staff Annual Evaluation,https://sfsc.sharepoint.com/sites/pod/Forms/Professional%20Staff%20Annual%20Evaluation.pdf
Program Code Change Request,https://sfsc.sharepoint.com/sites/pod/Forms/Program%20Code%20Change%20Request.doc?d=w6f46f9ca6b524e23b360d1fbafec0e41
Property Transfer-Disposal,https://sfsc.sharepoint.com/sites/pod/Forms/Property%20Transfer-Disposal.pdf
PSAV Completer Request,https://sfsc.sharepoint.com/sites/pod/Forms/PSAV%20Completer%20Request.pdf
Purchase Requisition,https://sfsc.sharepoint.com/:b:/s/pod/EWBSMDev6CdLrmA6NnWtitwBmoJ78HWubIQO46yzLTpucw
Purchasing Card Procedures,https://sfsc.sharepoint.com/sites/pod/Forms/Purchasing%20Card%20Procedures.pdf
Recommendation to Hire -  Cultural Programs,https://sfsc.sharepoint.com/sites/pod/Forms/Recommendation%20to%20Hire%20-%20%20Cultural%20Programs.pdf
Recommendation to Hire - Auxillary Aides - Tutors - Figure Models,https://sfsc.sharepoint.com/sites/pod/Forms/Recommendation%20to%20Hire%20-%20Auxillary%20Aides%20-%20Tutors%20-%20Figure%20Models.pdf
Recommendation to Hire - Lifeguard,https://sfsc.sharepoint.com/sites/pod/Forms/Recommendation%20to%20Hire%20-%20Lifeguard.pdf
Recommendation to Hire Sports - Youth Activity - Camp,https://sfsc.sharepoint.com/sites/pod/Forms/Recommendation%20to%20Hire%20Sports%20-%20Youth%20Activity%20-%20Camp.pdf
Reference Check,https://sfsc.sharepoint.com/sites/pod/Forms/Reference%20Check.docx?d=wd86e051598964402882adc11b97b6b0d
Request for Funds,https://sfsc.sharepoint.com/sites/pod/Forms/Request%20for%20Funds.pdf
Request to Advance in Faculty Rank,https://sfsc.sharepoint.com/sites/pod/Forms/Request%20to%20Advance%20in%20Faculty%20Rank.docx?d=w501fdd738b204a9a9a71c6d960724293
Retention Destruction Request,https://sfsc.sharepoint.com/sites/pod/Forms/Retention%20Destruction%20Request.pdf
Room Request - Interactive,https://sfsc.sharepoint.com/sites/pod/Forms/Room%20Request%20-%20Interactive.pdf
Sales Tax Exempt Certificate_2024-2029,https://sfsc.sharepoint.com/sites/pod/Forms/Sales%20Tax%20Exempt%20Certificate_2024-2029.pdf
SFSC Foundation Community Fund Loan,https://sfsc.sharepoint.com/sites/pod/Forms/SFSC%20Foundation%20Community%20Fund%20Loan.pdf
Social Media Account Request,https://sfsc.sharepoint.com/sites/pod/Forms/Social%20Media%20Account%20Request.pdf
SPD Evaluation,https://sfsc.sharepoint.com/sites/pod/Forms/SPD%20Evaluation.pdf
SPD Funds Request,https://sfsc.sharepoint.com/sites/pod/Forms/SPD%20Funds%20Request.pdf
SPD Request for Educational Grant Form,https://sfsc.sharepoint.com/sites/pod/Forms/SPD%20Request%20for%20Educational%20Grant%20Form.pdf
State Employee Tuition Waiver Guidelines,https://sfsc.sharepoint.com/sites/pod/Forms/State%20Employee%20Tuition%20Waiver%20Guidelines.pdf
Supplemental Registration,https://sfsc.sharepoint.com/sites/pod/Forms/Supplemental%20Registration.pdf
Time Sheet,https://sfsc.sharepoint.com/sites/pod/Forms/Time%20Sheet.docx?d=wf037741f3d174ee6a893164a5e7463a6
Transfer and Disposal of Property (Non-Inventoried),https://sfsc.sharepoint.com/sites/pod/Forms/Transfer%20and%20Disposal%20of%20Property%20(Non-Inventoried).pdf
Transfer or Disposal of Property (Inventoried),https://sfsc.sharepoint.com/sites/pod/Forms/Transfer%20or%20Disposal%20of%20Property%20(Inventoried).pdf
Travel and Expense,https://sfsc.sharepoint.com/sites/pod/Forms/Travel%20and%20Expense.xlsx?d=w3ab268dcb73b4042a00964d4d024fc37
United Way Enrollment,https://sfsc.sharepoint.com/sites/pod/Forms/United%20Way%20Enrollment.pdf
Vendor Direct Deposit,https://sfsc.sharepoint.com/sites/pod/Forms/Vendor%20Direct%20Deposit.docx?d=w64217914324b43509c2968734066aed6
Volunteer Packet,https://sfsc.sharepoint.com/sites/pod/Forms/Volunteer%20Packet.pdf
Voyager Gas Card,https://sfsc.sharepoint.com/sites/pod/Forms/Voyager%20Gas%20Card.pdf
W4 2024,https://sfsc.sharepoint.com/sites/pod/Forms/W4%202024.pdf
W-4 2025,https://sfsc.sharepoint.com/sites/pod/Forms/W-4%202025.pdf
W-9 2024 with Requirements,https://sfsc.sharepoint.com/sites/pod/Forms/W-9%202024%20with%20Requirements.pdf
WebXtender User Access Form,https://sfsc.sharepoint.com/sites/pod/Forms/WebXtender%20User%20Access%20Form.docx?d=we7c4071a94f6424ca6ff9f014f4facde
